x_coord,y_coord,z_coord
0.25,0,0
0.2575,0,0
0.265,0,0
0.2725,0,0
0.28,0,0
0.2875,0,0
0.295,0,0
0.3025,0,0
0.31,0,0
0.3175,0,0
0.325,0,0
0.3325,0,0
0.34,0,0
0.3475,0,0
0.355,0,0
0.3625,0,0
0.37,0,0
0.3775,0,0
0.385,0,0
0.3925,0,0
0.4,0,0
0.4075,0,0
0.415,0,0
0.4225,0,0
0.43,0,0
0.4375,0,0
0.445,0,0
0.4525,0,0
0.46,0,0
0.4675,0,0
0.475,0,0
0.4825,0,0
0.49,0,0
0.4975,0,0
0.505,0,0
0.5125,0,0
0.52,0,0
0.5275,0,0
0.535,0,0
0.5425,0,0
0.55,0,0
0.5575,0,0
0.565,0,0
0.5725,0,0
0.58,0,0
0.5875,0,0
0.595,0,0
0.6025,0,0
0.61,0,0
0.6175,0,0
0.625,0,0
0.6325,0,0
0.64,0,0
0.6475,0,0
0.655,0,0
0.6625,0,0
0.67,0,0
0.6775,0,0
0.685,0,0
0.6925,0,0
0.7,0,0
0.7075,0,0
0.715,0,0
0.7225,0,0
0.73,0,0
0.7375,0,0
0.745,0,0
0.7525,0,0
0.76,0,0
0.7675,0,0
0.775,0,0
0.7825,0,0
0.79,0,0
0.7975,0,0
0.805,0,0
0.8125,0,0
0.82,0,0
0.8275,0,0
0.835,0,0
0.8425,0,0
0.85,0,0
0.8575,0,0
0.865,0,0
0.8725,0,0
0.88,0,0
0.8875,0,0
0.895,0,0
0.9025,0,0
0.91,0,0
0.9175,0,0
0.925,0,0
0.9325,0,0
0.94,0,0
0.9475,0,0
0.955,0,0
0.9625,0,0
0.97,0,0
0.9775,0,0
0.985,0,0
0.9925,0,0
1,0,0
0.24,-0.00201803,0
0.2472,-0.00479785,0
0.2544,-0.00757767,0
0.2616,-0.0103575,0
0.2688,-0.0131373,0
0.276,-0.0159171,0
0.2832,-0.018697,0
0.2904,-0.0214768,0
0.2976,-0.0242566,0
0.3048,-0.0270364,0
0.312,-0.0298162,0
0.3192,-0.032596,0
0.3264,-0.0353759,0
0.3336,-0.0381557,0
0.3408,-0.0409355,0
0.348,-0.0437153,0
0.3552,-0.0464951,0
0.3624,-0.049275,0
0.3696,-0.0520548,0
0.3768,-0.0548346,0
0.384,-0.0576144,0
0.3912,-0.0603942,0
0.3984,-0.0631741,0
0.4056,-0.0659539,0
0.4128,-0.0687337,0
0.42,-0.0715135,0
0.4272,-0.0742933,0
0.4344,-0.0770732,0
0.4416,-0.079853,0
0.4488,-0.0826328,0
0.456,-0.0854126,0
0.4632,-0.0881924,0
0.4704,-0.0909723,0
0.4776,-0.0937521,0
0.4848,-0.0965319,0
0.492,-0.0993117,0
0.4992,-0.102092,0
0.5064,-0.104871,0
0.5136,-0.107651,0
0.5208,-0.110431,0
0.528,-0.113211,0
0.5352,-0.115991,0
0.5424,-0.11877,0
0.5496,-0.12155,0
0.5568,-0.12433,0
0.564,-0.12711,0
0.5712,-0.12989,0
0.5784,-0.13267,0
