i,j,AR,area
0,0,1.36021,3.9156e-05
0,1,1.51502,6.00046e-05
0,2,1.73733,8.08533e-05
0,3,2.00483,0.000101702
0,4,2.3018,0.000122551
0,5,2.61824,0.000143399
0,6,2.94789,0.000164248
0,7,3.28677,0.000185096
0,8,3.6323,0.000205945
0,9,3.98276,0.000226794
0,10,4.33694,0.000247642
0,11,4.694,0.000268491
0,12,5.05334,0.00028934
0,13,5.41449,0.000310188
0,14,5.77713,0.000331037
0,15,6.14098,0.000351886
0,16,6.50585,0.000372734
0,17,6.87156,0.000393583
0,18,7.238,0.000414432
0,19,7.60506,0.00043528
0,20,7.97264,0.000456129
0,21,8.3407,0.000476978
0,22,8.70915,0.000497826
0,23,9.07796,0.000518675
0,24,9.44708,0.000539523
0,25,9.81648,0.000560372
0,26,10.1861,0.000581221
0,27,10.556,0.000602069
0,28,10.9261,0.000622918
0,29,11.2963,0.000643767
0,30,11.6667,0.000664615
0,31,12.0373,0.000685464
0,32,12.408,0.000706313
0,33,12.7788,0.000727161
0,34,13.1497,0.00074801
0,35,13.5207,0.000768859
0,36,13.8919,0.000789707
0,37,14.2631,0.000810556
0,38,14.6344,0.000831405
0,39,15.0057,0.000852253
0,40,15.3771,0.000873102
0,41,15.7486,0.000893951
0,42,16.1202,0.000914799
0,43,16.4918,0.000935648
0,44,16.8635,0.000956496
0,45,17.2352,0.000977345
0,46,17.607,0.000998194
0,47,17.9788,0.00101904
0,48,18.3506,0.00103989
0,49,18.7225,0.00106074
0,50,19.0944,0.00108159
0,51,19.4664,0.00110244
0,52,19.8383,0.00112329
0,53,20.2104,0.00114413
0,54,20.5824,0.00116498
0,55,20.9545,0.00118583
0,56,21.3266,0.00120668
0,57,21.6987,0.00122753
0,58,22.0708,0.00124838
0,59,22.443,0.00126923
0,60,22.8152,0.00129007
0,61,23.1874,0.00131092
0,62,23.5596,0.00133177
0,63,23.9318,0.00135262
0,64,24.3041,0.00137347
0,65,24.6763,0.00139432
0,66,25.0486,0.00141517
0,67,25.4209,0.00143602
0,68,25.7932,0.00145686
0,69,26.1656,0.00147771
0,70,26.5379,0.00149856
0,71,26.9103,0.00151941
0,72,27.2826,0.00154026
0,73,27.655,0.00156111
0,74,28.0274,0.00158196
0,75,28.3998,0.0016028
0,76,28.7722,0.00162365
0,77,29.1446,0.0016445
0,78,29.5171,0.00166535
0,79,29.8895,0.0016862
0,80,30.262,0.00170705
0,81,30.6344,0.0017279
0,82,31.0069,0.00174875
0,83,31.3794,0.00176959
0,84,31.7518,0.00179044
0,85,32.1243,0.00181129
0,86,32.4968,0.00183214
0,87,32.8693,0.00185299
0,88,33.2418,0.00187384
0,89,33.6143,0.00189469
0,90,33.9869,0.00191553
0,91,34.3594,0.00193638
0,92,34.7319,0.00195723
0,93,35.1045,0.00197808
0,94,35.477,0.00199893
0,95,35.8495,0.00201978
0,96,36.2221,0.00204063
0,97,36.5947,0.00206147
0,98,36.9672,0.00208232
0,99,37.3398,0.00210317
1,0,1.30743,4.72439e-05
1,1,1.37196,5.60387e-05
1,2,1.44887,6.48336e-05
1,3,1.53631,7.36284e-05
1,4,1.63259,8.24233e-05
1,5,1.73624,9.12181e-05
1,6,1.84601,0.000100013
1,7,1.96088,0.000108808
1,8,2.08001,0.000117603
1,9,2.20269,0.000126397
1,10,2.32838,0.000135192
1,11,2.45661,0.000143987
1,12,2.587,0.000152782
1,13,2.71925,0.000161577
1,14,2.85308,0.000170372
1,15,2.9883,0.000179167
1,16,3.12472,0.000187961
1,17,3.26219,0.000196756
1,18,3.40058,0.000205551
1,19,3.53978,0.000214346
1,20,3.67971,0.000223141
1,21,3.82027,0.000231936
1,22,3.96142,0.00024073
1,23,4.10308,0.000249525
1,24,4.2452,0.00025832
1,25,4.38774,0.000267115
1,26,4.53066,0.00027591
1,27,4.67392,0.000284705
1,28,4.8175,0.000293499
1,29,4.96136,0.000302294
1,30,5.10548,0.000311089
1,31,5.24985,0.000319884
1,32,5.39444,0.000328679
1,33,5.53923,0.000337474
1,34,5.6842,0.000346269
1,35,5.82936,0.000355063
1,36,5.97467,0.000363858
1,37,6.12014,0.000372653
1,38,6.26574,0.000381448
1,39,6.41147,0.000390243
1,40,6.55733,0.000399038
1,41,6.7033,0.000407832
1,42,6.84937,0.000416627
1,43,6.99555,0.000425422
1,44,7.14182,0.000434217
1,45,7.28817,0.000443012
1,46,7.43461,0.000451807
1,47,7.58113,0.000460602
1,48,7.72772,0.000469396
1,49,7.87437,0.000478191
1,50,8.0211,0.000486986
1,51,8.16789,0.000495781
1,52,8.31473,0.000504576
1,53,8.46163,0.000513371
1,54,8.60859,0.000522165
1,55,8.75559,0.00053096
1,56,8.90264,0.000539755
1,57,9.04974,0.00054855
1,58,9.19688,0.000557345
1,59,9.34406,0.00056614
1,60,9.49128,0.000574934
1,61,9.63854,0.000583729
1,62,9.78583,0.000592524
1,63,9.93316,0.000601319
1,64,10.0805,0.000610114
