--------- Start Reading Airfoil -----------
Please input NACA AIRFOIL (e.g 0015 0012): 
Checking from databases...
OK, airfoil data has been read successfully...
0 1 0 0.00146356 1
1 0.999416 -0.001342 0.00176707 -1
2 0.997666 -0.001587 0.0029413 -0.998268
3 0.994753 -0.001994 0.00410719 -0.995386
4 0.990685 -0.00256 0.00526348 -0.991361
5 0.985471 -0.00328 0.00640761 -0.986203
6 0.979123 -0.004152 0.00753594 -0.979924
7 0.971656 -0.005169 0.00864649 -0.972539
8 0.963087 -0.006324 0.00973544 -0.964066
9 0.953437 -0.007611 0.0108016 -0.954526
10 0.942728 -0.009022 0.0118419 -0.943941
11 0.930985 -0.010549 0.0128542 -0.932336
12 0.918235 -0.012182 0.0138348 -0.91974
13 0.904509 -0.013914 0.0147846 -0.906182
14 0.889837 -0.015735 0.0156974 -0.891694
15 0.874255 -0.017635 0.0165725 -0.876311
16 0.8578 -0.019605 0.0174107 -0.860071
17 0.840508 -0.021635 0.0182061 -0.843009
18 0.822421 -0.023714 0.0189589 -0.825168
19 0.803581 -0.025834 0.0196668 -0.806589
20 0.784032 -0.027983 0.020328 -0.787317
21 0.76382 -0.030152 0.0209415 -0.767396
22 0.742992 -0.032329 0.0215065 -0.746874
23 0.721596 -0.034506 0.0220206 -0.725799
24 0.699682 -0.03667 0.0224812 -0.70422
25 0.677303 -0.038811 0.0228911 -0.682189
26 0.654509 -0.040917 0.0232465 -0.659757
27 0.631354 -0.042978 0.0235473 -0.636976
28 0.607892 -0.04498 0.0237916 -0.613901
29 0.584179 -0.046912 0.0239825 -0.590587
30 0.560268 -0.048762 0.0241149 -0.567085
31 0.536217 -0.050516 0.0241911 -0.543453
32 0.512082 -0.052162 0.0242121 -0.519747
33 0.487918 -0.053687 0.024175 -0.49602
34 0.463783 -0.055077 0.0240831 -0.47233
35 0.439732 -0.05632 0.0239345 -0.44873
36 0.415822 -0.057403 0.0237315 -0.425275
37 0.392108 -0.058314 0.0234733 -0.402019
38 0.368646 -0.059042 0.0231601 -0.379016
39 0.345492 -0.059575 0.0227964 -0.356321
40 0.322698 -0.059903 0.0223803 -0.333981
41 0.300318 -0.060017 0.0219143 -0.312049
42 0.278404 -0.05991 0.0213986 -0.290574
43 0.257008 -0.059576 0.0208357 -0.269605
44 0.23618 -0.059008 0.0202279 -0.249187
45 0.215968 -0.058205 0.0195767 -0.229364
46 0.196419 -0.057164 0.0188833 -0.21018
47 0.177579 -0.055886 0.0181503 -0.191675
48 0.159492 -0.054372 0.017379 -0.173889
49 0.142201 -0.052625 0.016574 -0.156858
50 0.125745 -0.050651 0.0157357 -0.140616
51 0.110163 -0.048457 0.0148673 -0.125196
52 0.095492 -0.046049 0.0139733 -0.110627
53 0.081765 -0.043437 0.0130551 -0.0969336
54 0.069015 -0.040631 0.0121177 -0.0841402
55 0.057272 -0.037641 0.0111661 -0.0722654
56 0.046563 -0.034479 0.0102061 -0.0613232
57 0.036913 -0.031156 0.00924605 -0.0513217
58 0.028344 -0.027683 0.00829474 -0.042261
59 0.020877 -0.024071 0.00736832 -0.0341325
60 0.014529 -0.02033 0.00648673 -0.0269119
61 0.009315 -0.016471 0.00568415 -0.0205552
62 0.005247 -0.012501 0.00500667 -0.014985
63 0.002334 -0.008429 0.0045214 -0.0100786
64 0.000584 -0.00426 0.00429984 -0.00564788
65 0 0 0.00429984 -0.00143423
66 0.000584 0.00426 0.0045214 0.00277943
67 0.002334 0.008429 0.00500667 0.00721019
68 0.005247 0.012501 0.00568415 0.0121165
69 0.009315 0.016471 0.00648673 0.0176867
70 0.014529 0.02033 0.00736832 0.0240434
71 0.020877 0.024071 0.00829474 0.031264
72 0.028344 0.027683 0.00924605 0.0393925
73 0.036913 0.031156 0.0102061 0.0484532
74 0.046563 0.034479 0.0111661 0.0584547
75 0.057272 0.037641 0.0121177 0.069397
76 0.069015 0.040631 0.0130551 0.0812718
77 0.081765 0.043437 0.0139733 0.0940652
78 0.095492 0.046049 0.0148673 0.107758
79 0.110163 0.048457 0.0157357 0.122328
80 0.125745 0.050651 0.016574 0.137748
81 0.142201 0.052625 0.017379 0.15399
82 0.159492 0.054372 0.0181503 0.17102
83 0.177579 0.055886 0.0188833 0.188807
84 0.196419 0.057164 0.0195767 0.207312
85 0.215968 0.058205 0.0202279 0.226496
86 0.23618 0.059008 0.0208357 0.246318
87 0.257008 0.059576 0.0213986 0.266736
88 0.278404 0.05991 0.0219143 0.287706
89 0.300318 0.060017 0.0223803 0.309181
90 0.322698 0.059903 0.0227964 0.331113
91 0.345492 0.059575 0.0231601 0.353452
92 0.368646 0.059042 0.0234733 0.376148
93 0.392108 0.058314 0.0237315 0.399151
94 0.415822 0.057403 0.0239345 0.422407
95 0.439732 0.05632 0.0240831 0.445861
96 0.463783 0.055077 0.024175 0.469462
97 0.487918 0.053687 0.0242121 0.493152
98 0.512082 0.052162 0.0241911 0.516879
99 0.536217 0.050516 0.0241149 0.540585
100 0.560268 0.048762 0.0239825 0.564216
